subj_idx,rt,response
0,0.5125000000000001,0
0,0.1535,1
0,0.47050000000000003,1
0,0.6195,1
0,0.1245,0
0,0.1845,1
0,0.2535,0
0,0.6185,1
0,0.4225,0
0,0.20650000000000002,1
0,0.6245,0
0,0.4535,0
0,0.40650000000000003,0
0,0.6655000000000001,0
0,0.1335,1
0,0.5135000000000001,0
0,0.3155,1
0,0.46950000000000003,0
0,0.5135000000000001,1
0,0.1925,1
0,0.1335,1
0,0.0675,0
0,0.2205,0
0,0.2705,1
0,0.2575,1
0,0.8905000000000001,1
0,0.1865,1
0,0.1755,1
0,0.6105,1
0,0.1935,0
0,0.1875,0
0,0.6545000000000001,1
0,0.5685000000000001,1
0,0.2405,0
0,0.1755,1
0,0.4015,1
0,0.5835,0
0,0.4335,1
0,0.3925,1
0,0.4935,1
0,0.2775,1
0,0.9925,1
0,0.6115,1
0,0.2975,1
0,0.3035,1
0,0.6795000000000001,1
0,0.7375,1
0,0.2775,0
0,0.1765,0
0,0.5765,1
0,0.6895000000000001,1
0,0.2595,0
0,0.2005,0
0,0.1825,1
0,0.1515,1
0,0.3715,0
0,0.2485,1
0,0.7615000000000001,0
0,0.5625000000000001,0
0,0.2535,0
0,0.8275000000000001,1
0,0.2705,1
0,0.4605,1
0,0.4365,1
0,0.4225,0
0,0.1305,1
0,0.1125,1
0,0.9015000000000001,1
0,0.0935,1
0,0.6735000000000001,0
0,0.3265,0
0,0.3925,0
0,0.5275000000000001,1
0,0.3525,0
0,0.0875,0
0,0.1665,1
0,0.47750000000000004,0
0,0.1105,1
0,0.3785,0
0,0.3025,1
0,0.2485,1
0,0.8665,1
0,0.6105,1
0,0.5725000000000001,1
0,0.4325,0
0,0.5245000000000001,0
0,0.2795,1
0,0.2645,1
0,0.3525,1
0,0.10350000000000001,0
1,0.1395,0
1,0.0935,0
1,0.3695,0
1,0.1115,0
1,0.4945,0
1,0.0675,0
1,0.0675,0
1,0.07150000000000001,0
1,0.1685,0
1,0.7125,0
1,0.1165,0
1,0.2125,0
1,0.0855,0
1,0.3035,1
1,0.1075,0
1,0.2465,0
1,0.1295,0
1,0.2435,0
1,0.5425000000000001,0
1,0.3565,0
1,0.0975,1
1,0.1825,0
1,0.2165,0
1,0.3185,0
1,0.5875,1
1,0.0915,0
1,0.2185,0
1,0.1565,0
1,0.5255000000000001,0
1,0.1165,0
1,0.2995,0
1,0.1255,1
1,0.2615,0
1,0.2115,0
1,0.5925,0
1,0.1245,0
1,0.0725,0
1,0.7055,0
1,0.3335,0
1,0.0875,0
1,0.0635,0
1,0.4315,0
1,0.2445,0
1,0.28350000000000003,0
1,0.3905,0
1,0.2585,0
