subj_idx,rt,response
0,0.2775,0
0,0.23750000000000002,0
0,0.0005,0
0,0.0365,0
0,0.1045,0
0,0.1495,0
0,0.0405,0
0,0.4565,0
0,0.1815,0
0,0.2655,0
0,0.0295,1
0,0.0895,0
0,0.1905,0
0,0.0215,0
0,0.6075,0
0,0.4595,0
0,0.41450000000000004,0
0,0.3805,0
0,0.0025,1
0,0.5815,0
0,0.0005,0
0,0.1695,0
0,0.1465,0
0,0.0495,1
0,0.0425,1
0,0.0025,1
0,0.1395,1
0,0.0035,0
0,0.0425,0
0,0.6445000000000001,0
0,0.1315,0
0,0.0315,0
0,0.3555,0
0,0.3035,0
0,0.006500000000000001,1
0,0.2145,0
0,0.1955,0
0,0.3515,0
0,0.0795,0
0,0.4415,0
0,0.2555,0
0,0.0285,0
0,0.1005,1
0,0.0615,0
0,0.0795,0
0,0.2255,0
0,0.2475,1
0,0.3905,0
0,0.0295,0
0,0.0895,0
0,0.4495,1
0,0.3355,0
0,0.0815,0
0,0.0215,1
0,0.1445,0
0,0.1705,1
0,0.0365,0
0,0.0595,0
0,0.0075,1
0,0.2925,0
0,0.0785,0
0,0.0085,0
0,0.0175,1
0,0.0005,0
0,0.0025,1
0,0.0165,0
0,0.0015,0
0,0.0825,1
0,0.0005,0
0,0.2405,0
0,0.006500000000000001,0
0,0.0435,0
0,0.0425,0
0,0.1005,0
0,0.0975,0
0,0.2695,0
0,0.0385,1
0,0.1635,0
0,0.0675,0
0,0.0615,0
0,0.0025,0
0,0.3575,0
0,0.2165,0
0,0.0375,0
0,0.1755,0
0,0.1635,0
0,0.4255,0
0,0.0675,0
0,0.0275,0
0,0.0025,0
0,0.0465,0
0,0.2685,0
0,0.0655,0
0,0.0175,0
0,0.0575,1
0,0.0205,1
0,0.6455000000000001,0
0,0.11750000000000001,0
0,0.0655,0
0,0.1505,0
1,0.0175,1
1,0.1215,1
1,0.0275,0
1,0.0345,1
1,0.0345,1
1,0.1285,0
1,0.014499999999999999,1
1,0.0745,1
1,0.1165,1
1,0.0115,1
1,0.0265,0
1,0.0475,1
1,0.0035,1
1,0.1005,1
1,0.0915,1
1,0.0785,1
1,0.0045000000000000005,1
1,0.1085,1
1,0.1565,1
1,0.0785,1
1,0.1135,0
1,0.1275,1
1,0.0015,0
1,0.0585,1
1,0.0765,1
1,0.0675,1
1,0.1065,1
1,0.0035,1
1,0.2465,1
1,0.1775,1
1,0.1875,0
1,0.0435,1
1,0.2605,1
1,0.1145,0
1,0.1835,1
1,0.1395,1
1,0.0285,1
1,0.006500000000000001,1
1,0.0855,1
1,0.1905,1
1,0.1565,0
1,0.0965,1
1,0.0615,1
1,0.0875,1
1,0.1005,1
1,0.0885,1
1,0.0625,0
1,0.2025,1
1,0.0995,1
1,0.3645,0
1,0.1295,1
1,0.1835,1
1,0.0005,0
1,0.0025,0
1,0.1265,1
1,0.0645,1
1,0.0005,1
1,0.2175,1
1,0.0385,1
1,0.1715,0
1,0.0755,0
1,0.1235,0
1,0.1235,1
1,0.1865,1
1,0.0125,0
1,0.0555,1
1,0.0185,1
1,0.3015,0
1,0.1095,1
1,0.1085,1
1,0.4895,1
1,0.5485000000000001,1
1,0.1075,1
1,0.0975,1
1,0.006500000000000001,1
1,0.0005,1
1,0.1585,1
1,0.11850000000000001,1
1,0.07150000000000001,1
1,0.0635,1
1,0.4815,1
1,0.0765,1
1,0.0455,1
1,0.14350000000000002,1
1,0.14150000000000001,0
1,0.1235,1
1,0.3365,0
1,0.0095,1
1,0.1585,1
1,0.2155,1
1,0.0055,0
1,0.0045000000000000005,1
1,0.08650000000000001,1
1,0.0005,0
1,0.3005,0
1,0.0335,1
1,0.0305,1
1,0.0005,1
1,0.1085,1
1,0.0115,0
2,0.0665,0
2,0.0405,0
2,0.0535,0
2,0.0005,0
2,0.014499999999999999,1
2,0.0055,1
2,0.0755,0
2,0.0055,0
2,0.0565,0
2,0.0305,1
2,0.0545,0
2,0.0005,0
2,0.1155,0
2,0.0885,0
2,0.10350000000000001,0
2,0.014499999999999999,1
2,0.0485,0
2,0.0645,0
2,0.1855,0
2,0.0965,0
2,0.1155,0
2,0.0475,0
2,0.0285,1
2,0.1115,1
2,0.0075,1
2,0.0185,0
2,0.0085,1
2,0.1715,1
2,0.006500000000000001,0
2,0.0005,0
2,0.0005,0
2,0.0165,1
2,0.07150000000000001,0
2,0.0875,1
2,0.0805,0
2,0.0395,0
2,0.0055,0
2,0.0595,0
2,0.0785,0
2,0.11850000000000001,0
2,0.1665,0
2,0.0035,1
2,0.0045000000000000005,0
2,0.0935,1
2,0.0155,0
2,0.0085,0
2,0.0095,1
2,0.0115,0
2,0.0165,1
2,0.0015,0
2,0.0615,0
2,0.0115,0
2,0.0205,0
2,0.0345,0
2,0.0175,1
2,0.1535,0
2,0.0785,0
2,0.1915,0
2,0.0435,0
2,0.0225,0
2,0.0975,0
2,0.0015,0
2,0.0275,1
2,0.1945,1
2,0.0025,1
2,0.0755,0
2,0.0455,0
2,0.0125,0
2,0.0185,0
2,0.010499999999999999,1
2,0.0155,0
2,0.0115,0
2,0.051500000000000004,0
2,0.0855,0
2,0.0455,0
2,0.0905,1
2,0.0185,0
2,0.0365,0
2,0.3975,0
2,0.10350000000000001,1
2,0.006500000000000001,1
2,0.0935,0
2,0.0015,0
2,0.14150000000000001,0
2,0.0305,0
2,0.0435,0
2,0.0775,0
2,0.0225,0
2,0.0025,1
2,0.0165,1
2,0.0055,1
2,0.0445,0
2,0.0015,0
2,0.0465,1
2,0.0005,0
2,0.0125,1
2,0.035500000000000004,1
2,0.0405,1
2,0.0155,0
2,0.0195,1
3,0.0395,0
3,0.0875,0
3,0.1075,0
3,0.0575,0
3,0.0265,0
3,0.0005,0
3,0.0025,1
3,0.0035,0
3,0.0545,0
3,0.1115,0
3,0.0045000000000000005,1
3,0.10250000000000001,0
3,0.1705,0
3,0.0785,0
3,0.1595,0
3,0.1215,0
3,0.0165,0
3,0.1975,0
3,0.1215,0
3,0.0385,0
3,0.1095,0
3,0.4645,0
3,0.0225,0
3,0.1605,0
3,0.2165,0
3,0.0505,0
3,0.3965,0
3,0.0615,0
3,0.0935,0
3,0.051500000000000004,0
3,0.2445,0
3,0.0555,0
3,0.1015,0
3,0.0235,0
3,0.0735,0
3,0.025500000000000002,0
3,0.20750000000000002,0
3,0.1095,0
3,0.0135,1
3,0.2765,0
3,0.1975,0
3,0.0315,0
3,0.1015,0
3,0.1795,0
3,0.0215,0
3,0.2305,0
3,0.23650000000000002,0
3,0.0735,1
3,0.0085,0
3,0.0075,0
3,0.0415,0
3,0.0135,0
3,0.0095,1
3,0.0385,1
3,0.0015,1
3,0.1235,0
3,0.1225,0
3,0.0075,0
3,0.0135,0
3,0.1545,0
3,0.2645,0
3,0.0025,1
3,0.0405,0
3,0.0425,1
3,0.4855,0
3,0.1095,0
3,0.28650000000000003,0
3,0.0805,0
3,0.0235,0
3,0.10250000000000001,0
3,0.0075,0
3,0.0055,0
3,0.0235,0
3,0.0035,0
3,0.1125,0
3,0.1265,0
3,0.1855,0
3,0.0035,0
3,0.0055,1
3,0.0815,1
3,0.0135,0
3,0.1055,0
3,0.0445,0
3,0.0225,0
3,0.11750000000000001,0
3,0.1485,0
3,0.0495,0
3,0.0455,0
3,0.4395,0
3,0.1885,0
3,0.2225,0
3,0.0115,0
3,0.08650000000000001,0
3,0.1935,1
3,0.4205,0
3,0.0335,0
3,0.0945,0
3,0.0275,0
3,0.0555,0
3,0.0045000000000000005,1
4,0.0365,0
4,0.0685,0
4,0.4315,1
4,0.0195,1
4,0.0675,0
4,0.0315,1
4,0.1265,1
4,0.0385,0
4,0.0005,1
4,0.0855,1
4,0.0305,0
4,0.006500000000000001,0
4,0.1375,0
4,0.0095,0
4,0.1755,0
4,0.0015,1
4,0.0085,1
4,0.0045000000000000005,0
4,0.0845,0
4,0.0365,1
4,0.0625,0
4,0.0345,0
4,0.17350000000000002,0
4,0.2165,0
4,0.0645,0
4,0.0585,1
4,0.0585,1
4,0.014499999999999999,1
4,0.0165,1
4,0.0025,0
4,0.0055,1
4,0.0135,0
4,0.0005,0
4,0.0955,1
4,0.0375,1
4,0.0235,0
4,0.0635,0
4,0.0095,1
4,0.0055,0
4,0.1675,0
4,0.4165,1
4,0.2595,0
4,0.0235,1
4,0.0325,1
4,0.0675,1
4,0.0415,0
4,0.1205,0
4,0.014499999999999999,1
4,0.0765,0
4,0.07150000000000001,0
4,0.0035,0
4,0.0045000000000000005,1
4,0.2925,0
4,0.0155,0
4,0.4825,0
4,0.1805,0
4,0.1055,0
4,0.0915,0
4,0.0115,0
4,0.1365,0
4,0.0095,0
4,0.0335,1
4,0.0545,1
4,0.0015,1
4,0.1945,0
4,0.2705,0
4,0.1465,1
4,0.2165,0
4,0.0035,1
4,0.1255,1
4,0.2175,0
4,0.014499999999999999,1
4,0.0365,0
4,0.0005,1
4,0.006500000000000001,0
4,0.1395,1
4,0.0385,0
4,0.0505,0
4,0.051500000000000004,1
4,0.0325,0
4,0.1555,0
4,0.0215,0
4,0.051500000000000004,0
4,0.0155,0
4,0.0035,0
4,0.0295,1
4,0.0075,1
4,0.0005,1
